minute,type,player,side,team,classification,inferred_actions,confidence
1,Tir à côté,Auguste Robinet,right,opponent,shoot,,1.00
5,Transversale,Nestor Arnould,right,opponent,shoot,,1.00
8,But,Nestor Arnould,right,opponent,goal,,1.00
8,Tir à côté,Maxence Jonckheere,right,opponent,shoot,,1.00
11,Tir à côté,Maxence Jonckheere,right,opponent,shoot,,1.00
11,Tir à côté,Nestor Arnould,right,opponent,shoot,,1.00
12,But,Maxence Jonckheere,right,opponent,goal,,1.00
14,But,Nestor Arnould,right,opponent,goal,,1.00
16,But,Nestor Arnould,right,opponent,goal,,1.00
17,But,Nestor Arnould,right,opponent,goal,,1.00
19,Arrêt,adversaire,left,us,shoot,frappe_subite,1.00
20,Arrêt,adversaire,left,us,shoot,frappe_subite,1.00
21,But,Auguste Robinet,right,opponent,goal,,1.00
23,But,Maxence Jonckheere,right,opponent,goal,,1.00
28,But,Tiago Wauthia,right,opponent,goal,,1.00
30,But,Tiago Wauthia,right,opponent,goal,,1.00
32,But,Nathan Blyweert Doumont,right,opponent,goal,,1.00
36,But,Nestor Arnould,right,opponent,goal,,1.00
37,But,Auguste Robinet,right,opponent,goal,,1.00
38,Tir à côté,Nestor Arnould,right,opponent,shoot,,1.00
38,Tir à côté,Auguste Robinet,right,opponent,shoot,,1.00
39,But,Nestor Arnould,right,opponent,goal,,1.00
40,Tir à côté,Auguste Robinet,right,opponent,shoot,,1.00
41,But,Nestor Arnould,right,opponent,goal,,1.00
44,But,unknown,right,opponent,goal,,1.00
46,Arrêt,Louis Burgraff,right,opponent,shoot,frappe_créée,1.00
48,But,Nathan Blyweert Doumont,right,opponent,goal,,1.00
49,But,Nathan Blyweert Doumont,right,opponent,goal,,1.00
